pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,dataset_size,max_gap,support_penalty,sigmoid_offset
"[{'2017'}, {'2025'}]",0.15170317137611353,94,0.20088838874899628,0.3795574271055155,0.1786690383565192,43,51,0.26290292725856,0.14513906407520644,6785,1,0.0,2
"[{'2100'}, {'1012'}]",0.15137250630913554,63,0.1808885466469371,0.3134247597468936,0.1325362130999565,23,40,0.2144362064344688,0.07297565498700491,6785,1,0.0,2
[{'2032'}],0.15111218734693563,436,0.2130497497977555,0.373175125505243,0.1601253757074875,175,261,0.25465365764538783,0.1299834730407077,6785,1,0.0,2
"[{'2005'}, {'8398'}]",0.15074487892862165,77,0.17265922699494582,0.381083732651126,0.20842450565618018,31,46,0.22888009650307642,0.2103545651143751,6785,1,0.0,2
"[{'2043'}, {'2002'}]",0.1501918353619044,90,0.16298754546791314,0.3959200346842408,0.23293248921632767,40,50,0.2625680223324655,0.20628360925870848,6785,1,0.0,2
"[{'999'}, {'999'}]",0.14998905196798223,136,0.22563685245958032,0.3726286131377314,0.14699176067815106,51,85,0.2699767944749638,0.15394117057245138,6785,1,0.0,2
"[{'2000'}, {'2010'}]",0.14947764841492506,99,0.1534650816874845,0.3909886819975717,0.2375236003100872,49,50,0.24363524039082482,0.19266264517394383,6785,1,0.0,2
"[{'2017'}, {'2215'}]",0.14875863348486948,117,0.2142784779782964,0.3661634548118821,0.1518849768335857,54,63,0.25978474437066207,0.09313545548297913,6785,1,0.0,2
"[{'2308'}, {'2037'}]",0.14875463519300933,64,0.21666044543962926,0.37063707679044455,0.1539766313508153,32,32,0.28001814250679646,0.14397923856345027,6785,1,0.0,2
"[{'2785'}, {'1997'}]",0.14848245220829293,95,0.16821082596813802,0.3888917807012032,0.2206809547330652,39,56,0.26093175573265065,0.19733507365651984,6785,1,0.0,2
"[{'1012'}, {'2115'}]",0.14815162992211997,154,0.18220010691117342,0.38160067479141424,0.19940056788024083,61,93,0.2612454981946494,0.18204143183847005,6785,1,0.0,2
"[{'2097'}, {'2025'}]",0.1480542193969438,64,0.1892713968331615,0.37375519070774316,0.18448379387458166,40,24,0.24360335465155714,0.11472727627535581,6785,1,0.0,2
"[{'2027'}, {'1005'}, {'2128'}]",0.14798429152781314,87,0.18664076735858756,0.37618441311152356,0.189543645752936,38,49,0.26012275807368473,0.16204232343650626,6785,1,0.0,2
"[{'1010'}, {'2308'}, {'1010'}]",0.14757214899630647,64,0.1764698970702387,0.3744311380770899,0.1979612410068512,31,33,0.24780413837573098,0.152442354652014,6785,1,0.0,2
"[{'1029'}, {'2017'}]",0.14753353588493764,177,0.19092035906279786,0.3710551518201828,0.18013479275738492,75,102,0.25180873417174726,0.16701831868855685,6785,1,0.0,2
"[{'2010'}, {'1010'}]",0.14748676469274408,79,0.16569576922517557,0.3809958426998212,0.2153000734746456,39,40,0.2519037755604347,0.17007761261392895,6785,1,0.0,2
"[{'2017'}, {'1005'}, {'2128'}]",0.14731166958989514,222,0.19527268902584577,0.3710115452848592,0.17573885625901342,103,119,0.26406754714987796,0.16475364555659827,6785,1,0.0,2
"[{'1012'}, {'2002'}, {'1005'}]",0.1471626556695528,65,0.2050394999806757,0.3845273586256163,0.17948785864494063,21,44,0.2864554735498823,0.17542695529692057,6785,1,0.0,2
[{'3233'}],0.14700761079383343,101,0.196694967044672,0.36468954319539276,0.16799457615072078,46,55,0.24672026195573118,0.12524166071532303,6785,1,0.0,2
"[{'2016'}, {'2003'}]",0.14699658080012123,226,0.20229123033064364,0.3693087132290957,0.16701748289845206,94,132,0.26423607325186116,0.16014814157225624,6785,1,0.0,2
[{'2785'}],0.14699620010184425,120,0.16511038970734393,0.3848284251242876,0.21971803541694368,50,70,0.2586007390430016,0.20012568304975478,6785,1,0.0,2
"[{'2442'}, {'2022'}]",0.1469350092999662,95,0.18150553213602375,0.38072210877406887,0.19921657663804512,41,54,0.27491123760036923,0.14068002247170733,6785,1,0.0,2
"[{'2014'}, {'3129'}]",0.14640789712856084,75,0.19444520771503448,0.3762998804450035,0.18185467272996902,29,46,0.27547278635303984,0.15637751293719873,6785,1,0.0,2
"[{'2032'}, {'1012'}]",0.14620899915224345,130,0.19428951981885018,0.3672384905971979,0.1729489707783477,57,73,0.2571009882069903,0.14856198974574833,6785,1,0.0,2
