pattern,quality,support,pattern_delta,error_class_0,error_class_1,size_class_0,size_class_1,std_class_0,std_class_1,global_accuracy,dataset_size,max_gap
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}]",0.31951361201394946,133,0.3215321906695241,0.13199067729476247,0.45352286796428654,95,38,0.1805578368082252,0.28677687205832025,0.8916666666666667,4320,5
"[{'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_9_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}]",0.31329538564505843,90,0.42040791878742834,0.5366595197468996,0.11625160095947129,20,70,0.353824475689929,0.1549313221559261,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_6'}]",0.30955359709802693,74,0.3473290009829013,0.4801459554582834,0.1328169544753821,28,46,0.3391528772992337,0.19743648254232904,0.8916666666666667,4320,5
"[{'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.3029429993818053,83,0.37918314439414436,0.45996547465523085,0.08078233026108651,30,53,0.34770202134990896,0.14787141150682373,0.8916666666666667,4320,5
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}]",0.3018781176492455,67,0.32762253735819014,0.150147881746913,0.47777041910510315,48,19,0.18981162656448186,0.3364530586007057,0.8916666666666667,4320,5
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_13_9'}, {'M_15_9'}]",0.29163224726666337,79,0.2803296939748061,0.14530758441171862,0.42563727838652476,44,35,0.2268618670867995,0.3069160755783201,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}, {'M_8_9'}]",0.29087121668176663,90,0.3383647542815511,0.4624245160770032,0.12405976179545208,31,59,0.3222157851936733,0.17142007112702398,0.8916666666666667,4320,5
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_0_9'}, {'M_0_9'}]",0.28998222971352444,64,0.34000155982517066,0.12327180323856214,0.4632733630637328,49,15,0.19668373701453024,0.3099718056252359,0.8916666666666667,4320,5
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_15_9'}, {'M_0_9'}, {'M_0_9'}, {'M_0_9'}]",0.28882260848556573,85,0.3334263726209219,0.08847688407852097,0.42190325669944284,65,20,0.11879828259010176,0.2658340470646874,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}]",0.28733788928606735,143,0.33776516599975753,0.47388411118564283,0.1361189451858853,44,99,0.3208403856915506,0.1844791195058265,0.8916666666666667,4320,5
"[{'M_15_9'}, {'M_13_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.2873140261669225,69,0.2909112115213204,0.15484209498390553,0.44575330650522593,48,21,0.20253798665758996,0.2989061821284991,0.8916666666666667,4320,5
"[{'M_1_9'}, {'M_1_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.285084075614001,126,0.3785531158221292,0.46639415696263314,0.08784104114050394,35,91,0.3333084351282458,0.1341155076287617,0.8916666666666667,4320,5
"[{'M_3_9'}, {'M_4_9'}, {'M_4_9'}, {'M_4_9'}, {'M_6_9'}, {'M_7_9'}]",0.28502399167824904,84,0.4062850318093232,0.13429038631527315,0.5405754181245963,69,15,0.19435255467264193,0.386091692541695,0.8916666666666667,4320,5
"[{'M_1_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}, {'M_2_9'}]",0.2846707906677135,65,0.3681233122936025,0.4762745944576131,0.10815128216401061,18,47,0.33540838941250956,0.1944988616840143,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}]",0.2793449108487726,246,0.34621362133268013,0.46399011411055735,0.11777649277787723,79,167,0.33729578837535124,0.17541222318116229,0.8916666666666667,4320,5
"[{'M_13_9'}, {'M_2_9'}, {'M_3_9'}, {'M_3_9'}]",0.2769940072615396,89,0.34816548799579383,0.5225792968911784,0.17441380889538458,21,68,0.342740494284687,0.2730850287949917,0.8916666666666667,4320,5
"[{'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_15_9'}, {'M_15_9'}]",0.2765920527215512,99,0.2776793299660564,0.16548931956487267,0.44316864953092905,76,23,0.24448148447145757,0.25038526501436437,0.8916666666666667,4320,5
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.2760174753595713,103,0.323915396284555,0.1725782258901745,0.4964936221747295,80,23,0.25434230677682046,0.3367305424570225,0.8916666666666667,4320,5
"[{'M_14_9'}, {'M_13_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}, {'M_12_9'}]",0.27419492021865877,111,0.3088163461821575,0.13758477172814304,0.4464011179103005,80,31,0.16176795937620247,0.32145813574296106,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_12_9'}, {'M_1_9'}]",0.271487553184835,63,0.31677289875224235,0.4565814363459746,0.13980853759373227,15,48,0.25975392821180865,0.17478619670192783,0.8916666666666667,4320,5
"[{'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_10_9'}, {'M_8_9'}, {'M_8_9'}, {'M_8_9'}]",0.2684879429334263,78,0.3295373910376579,0.42877872605566625,0.09924133501800836,27,51,0.30753372459483125,0.14179546816193087,0.8916666666666667,4320,5
"[{'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_11_9'}, {'M_12_9'}, {'M_15_9'}, {'M_15_9'}]",0.26788729225257035,96,0.2934998468241909,0.08651392788372254,0.3800137747079134,66,30,0.07212030006057707,0.26103475705787643,0.8916666666666667,4320,5
"[{'M_2_9'}, {'M_2_9'}, {'M_14_9'}]",0.2656230066270082,164,0.4293915022491551,0.5341176080703736,0.10472610582121843,25,139,0.33154995026811435,0.1839514940740553,0.8916666666666667,4320,5
